weapon_id,level,order_index,gold_cost,is_affix_node,bonus_attack,bonus_hp,bonus_armor,bonus_all_attr,affix_pool_id
weapon_default,1,1,50,false,10,0,0,2,
weapon_default,2,2,100,false,10,0,0,2,
weapon_default,3,3,150,false,10,0,0,2,
weapon_default,4,4,200,false,10,0,0,2,
weapon_default,5,5,250,false,10,0,0,2,
weapon_default,6,6,300,false,10,0,0,2,
weapon_default,7,7,350,false,10,0,0,2,
weapon_default,8,8,400,false,10,0,0,2,
weapon_default,9,9,450,false,10,0,0,2,
weapon_default,10,10,500,true,10,0,0,2,pool_10
weapon_default,11,11,550,false,10,0,0,2,
weapon_default,12,12,600,false,10,0,0,2,
weapon_default,13,13,650,false,10,0,0,2,
weapon_default,14,14,700,false,10,0,0,2,
weapon_default,15,15,750,false,10,0,0,2,
weapon_default,16,16,800,false,10,0,0,2,
weapon_default,17,17,850,false,10,0,0,2,
weapon_default,18,18,900,false,10,0,0,2,
weapon_default,19,19,950,false,10,0,0,2,
weapon_default,20,20,1000,true,10,0,0,2,pool_20
weapon_default,21,21,1050,false,10,0,0,2,
weapon_default,22,22,1100,false,10,0,0,2,
weapon_default,23,23,1150,false,10,0,0,2,
weapon_default,24,24,1200,false,10,0,0,2,
weapon_default,25,25,1250,false,10,0,0,2,
weapon_default,26,26,1300,false,10,0,0,2,
weapon_default,27,27,1350,false,10,0,0,2,
weapon_default,28,28,1400,false,10,0,0,2,
weapon_default,29,29,1450,false,10,0,0,2,
weapon_default,30,30,1500,true,10,0,0,2,pool_30
weapon_default,31,31,1550,false,10,0,0,2,
weapon_default,32,32,1600,false,10,0,0,2,
weapon_default,33,33,1650,false,10,0,0,2,
weapon_default,34,34,1700,false,10,0,0,2,
weapon_default,35,35,1750,false,10,0,0,2,
weapon_default,36,36,1800,false,10,0,0,2,
weapon_default,37,37,1850,false,10,0,0,2,
weapon_default,38,38,1900,false,10,0,0,2,
weapon_default,39,39,1950,false,10,0,0,2,
weapon_default,40,40,2000,true,10,0,0,2,pool_40
weapon_default,41,41,2050,false,10,0,0,2,
weapon_default,42,42,2100,false,10,0,0,2,
weapon_default,43,43,2150,false,10,0,0,2,
weapon_default,44,44,2200,false,10,0,0,2,
weapon_default,45,45,2250,false,10,0,0,2,
weapon_default,46,46,2300,false,10,0,0,2,
weapon_default,47,47,2350,false,10,0,0,2,
weapon_default,48,48,2400,false,10,0,0,2,
weapon_default,49,49,2450,false,10,0,0,2,
weapon_default,50,50,2500,true,10,0,0,2,pool_50
weapon_default,51,51,2550,false,10,0,0,2,
weapon_default,52,52,2600,false,10,0,0,2,
weapon_default,53,53,2650,false,10,0,0,2,
weapon_default,54,54,2700,false,10,0,0,2,
weapon_default,55,55,2750,false,10,0,0,2,
weapon_default,56,56,2800,false,10,0,0,2,
weapon_default,57,57,2850,false,10,0,0,2,
weapon_default,58,58,2900,false,10,0,0,2,
weapon_default,59,59,2950,false,10,0,0,2,
weapon_default,60,60,3000,true,10,0,0,2,pool_50
weapon_default,61,61,3050,false,10,0,0,2,
weapon_default,62,62,3100,false,10,0,0,2,
weapon_default,63,63,3150,false,10,0,0,2,
weapon_default,64,64,3200,false,10,0,0,2,
weapon_default,65,65,3250,false,10,0,0,2,
weapon_default,66,66,3300,false,10,0,0,2,
weapon_default,67,67,3350,false,10,0,0,2,
weapon_default,68,68,3400,false,10,0,0,2,
weapon_default,69,69,3450,false,10,0,0,2,
weapon_default,70,70,3500,true,10,0,0,2,pool_50
weapon_default,71,71,3550,false,10,0,0,2,
weapon_default,72,72,3600,false,10,0,0,2,
weapon_default,73,73,3650,false,10,0,0,2,
weapon_default,74,74,3700,false,10,0,0,2,
weapon_default,75,75,3750,false,10,0,0,2,
weapon_default,76,76,3800,false,10,0,0,2,
weapon_default,77,77,3850,false,10,0,0,2,
weapon_default,78,78,3900,false,10,0,0,2,
weapon_default,79,79,3950,false,10,0,0,2,
weapon_default,80,80,4000,true,10,0,0,2,pool_50
weapon_default,81,81,4050,false,10,0,0,2,
weapon_default,82,82,4100,false,10,0,0,2,
weapon_default,83,83,4150,false,10,0,0,2,
weapon_default,84,84,4200,false,10,0,0,2,
weapon_default,85,85,4250,false,10,0,0,2,
weapon_default,86,86,4300,false,10,0,0,2,
weapon_default,87,87,4350,false,10,0,0,2,
weapon_default,88,88,4400,false,10,0,0,2,
weapon_default,89,89,4450,false,10,0,0,2,
weapon_default,90,90,4500,true,10,0,0,2,pool_50
weapon_default,91,91,4550,false,10,0,0,2,
weapon_default,92,92,4600,false,10,0,0,2,
weapon_default,93,93,4650,false,10,0,0,2,
weapon_default,94,94,4700,false,10,0,0,2,
weapon_default,95,95,4750,false,10,0,0,2,
weapon_default,96,96,4800,false,10,0,0,2,
weapon_default,97,97,4850,false,10,0,0,2,
weapon_default,98,98,4900,false,10,0,0,2,
weapon_default,99,99,4950,false,10,0,0,2,
weapon_default,100,100,5000,true,10,0,0,2,pool_50
